Location,Status,URL,Address,Utilities,Bathroom,Bedroom,Rent_USD
"220 Vaughan Road, Toronto, ON M6C 2M6",,https://www.zumper.com/address/220-vaughan-rd-toronto-on-m6c-2m6-can,"220 Vaughan Road, Toronto, ON M6C 2M6","Balcony,Central Heat,Hardwood Floor",2 baths,3 beds,"$7,900,$3,700,Price drop"
"229 Rosethorn Avenue #Main, Toronto, ON M6M 3K9",,https://www.zumper.com/address/229-rosethorn-ave-toronto-on-m6m-3k9-can,"229 Rosethorn Avenue #Main, Toronto, ON M6M 3K9","High Ceilings,Air Conditioning,In Unit Laundry",2 baths,4 beds,"$3,750"
"12 Yonge Street #1504, Toronto, ON M5E 2A3",,https://www.zumper.com/address/12-yonge-st-toronto-on-m5e-2a3-can,"12 Yonge Street #1504, Toronto, ON M5E 2A3","Swimming Pool,Garage Parking,Business Center",2 baths,3 beds,"$3,750"
Rideau Towers,Excellent,https://www.zumper.com/apartment-buildings/p304506/rideau-towers-thorncliffe-park-toronto-on,"49 Thorncliffe Park Dr, Toronto, ON M4H 1J6","On Site Laundry,Balcony,Storage",2 baths,3 beds,"$3,780"
"30 Lambton Ave Uppr, Toronto, ON M6N 2S1",,https://www.zumper.com/address/30-lambton-ave-toronto-on-m6n-2s1-can,"30 Lambton Ave Uppr, Toronto, ON M6N 2S1","In Unit Laundry,On Site Laundry,Air Conditioning",2 baths,3 beds,"$3,800"
"64 St Dunstan Dr #TOPFL, Toronto, ON M1L 2V5",,https://www.zumper.com/address/64-st-dunstan-dr-toronto-on-m1l-2v5-can,"64 St Dunstan Dr #TOPFL, Toronto, ON M1L 2V5","$3,800",2 baths,4 beds,"$3,800"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=10,"82 Livingstone Ave Uppr, Toronto, ON M6E 2L8","Air Conditioning,Dishwasher,In Unit Laundry",2 baths,3 beds,"$3,825"
"65 Southport St, Toronto, ON M6S 3N6",,https://www.zumper.com/address/65-southport-st-toronto-on-m6s-3n6-can,"65 Southport St, Toronto, ON M6S 3N6","High Ceilings,Outdoor Space,Air Conditioning",2 baths,3 beds,"$3,850"
"135 Wynford Drive, Toronto, ON M3C 0J4",,https://www.zumper.com/address/135-wynford-dr-toronto-on-m3c-0j4-can,"135 Wynford Drive, Toronto, ON M3C 0J4","Walk In Closets,Outdoor Space,Hardwood Floor",2 baths,3 beds,"$3,895"
"2108 Gerrard Street East, Toronto, ON M4E 2B8",,https://www.zumper.com/address/2108-gerrard-st-e-toronto-on-m4e-2b8-can,"2108 Gerrard Street East, Toronto, ON M4E 2B8","Air Conditioning,Central Heat,Dishwasher",2 baths,3 beds,"$3,895"
"1 Cardiff Road #311, Toronto, ON M4P 0G2",,https://www.zumper.com/address/1-cardiff-rd-toronto-on-m4p-0g2-can,"1 Cardiff Road #311, Toronto, ON M4P 0G2","Air Conditioning,Central Heat,Balcony",2 baths,3 beds,"$3,899"
561 Sherbourne,Excellent,https://www.zumper.com/apartment-buildings/p275314/561-sherbourne-saint-james-town-toronto-on,"561 Sherbourne St, Toronto, ON M4X 0A1","Onsite Management,Dishwasher,Concierge Service",2 baths,3 beds,"$3,900"
"43 Harcourt Avenue #3, Toronto, ON M4K 1M3",Verified,https://www.zumper.com/address/43-harcourt-ave-toronto-on-m4k-1m3-can,"43 Harcourt Avenue #3, Toronto, ON M4K 1M3","Dishwasher,Ceiling Fan,Walk In Closets",2 baths,3 beds,"$3,900"
,Verified,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=10,"215 Queen Street West #2105, Toronto, ON M5V 0P5","Storage,Elevator,Garage Parking",2 baths,3 beds,"$3,900"
,,https://www.zumper.com/apartments-for-rent/toronto-on/cheap?bathrooms-range=2&page=10,"125 Peter Street #1901, Toronto, ON M5V 0M2","Elevator,Controlled Access,Outdoor Space",2 baths,3 beds,"$3,900"
"85 McMahon Drive, Toronto, ON M2K 0H1",,https://www.zumper.com/address/85-mcmahon-dr-toronto-on-m2k-0h1-can,"85 McMahon Drive, Toronto, ON M2K 0H1","High Ceilings,Onsite Management,Assigned Parking",2 baths,3 beds,"$3,900"
